file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,34,0.942857,119,90,59,0,0,90,59,47.8723,31.383,0,0,47.8723,31.383
,34,0.942857,120,94,61,0,0,94,61,50,32.4468,0,0,50,32.4468
,34,0.942857,121,92,56,0,0,92,56,48.9362,29.7872,0,0,48.9362,29.7872
,35,0.971429,122,90,49,0,0,90,49,47.8723,26.0638,0,0,47.8723,26.0638
,35,0.971429,122.667,85,48,0,0,85,48,45.2128,25.5319,0,0,45.2128,25.5319
,35,0.971429,123.333,85,48,0,0,85,48,45.2128,25.5319,0,0,45.2128,25.5319
,35,0.971429,124,75,39,0,0,75,39,39.8936,20.7447,0,0,39.8936,20.7447
,36,1,125,69,34,0,0,69,34,36.7021,18.0851,0,0,36.7021,18.0851
,36,1,126,65,33,0,0,65,33,34.5745,17.5532,0,0,34.5745,17.5532
,36,1,127,57,28,0,0,57,28,30.3191,14.8936,0,0,30.3191,14.8936
,36,1,128,49,27,0,0,49,27,26.0638,14.3617,0,0,26.0638,14.3617
,37,1.02857,129,54,26,0,0,54,26,28.7234,13.8298,0,0,28.7234,13.8298
,37,1.02857,129.667,46,23,0,0,46,23,24.4681,12.234,0,0,24.4681,12.234
,37,1.02857,130.333,46,23,0,0,46,23,24.4681,12.234,0,0,24.4681,12.234
,37,1.02857,131,49,25,0,0,49,25,26.0638,13.2979,0,0,26.0638,13.2979
,38,1.05714,132,49,26,0,0,49,26,26.0638,13.8298,0,0,26.0638,13.8298
,38,1.05714,133,48,28,0,0,48,28,25.5319,14.8936,0,0,25.5319,14.8936
,38,1.05714,134,47,28,0,0,47,28,25,14.8936,0,0,25,14.8936
,38,1.05714,135,47,27,0,0,47,27,25,14.3617,0,0,25,14.3617
,39,1.08571,136,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,39,1.08571,136.667,48,28,0,0,48,28,25.5319,14.8936,0,0,25.5319,14.8936
,39,1.08571,137.333,48,28,0,0,48,28,25.5319,14.8936,0,0,25.5319,14.8936
,39,1.08571,138,49,29,0,0,49,29,26.0638,15.4255,0,0,26.0638,15.4255
,40,1.11429,139,49,29,0,0,49,29,26.0638,15.4255,0,0,26.0638,15.4255
,40,1.11429,140,48,28,0,0,48,28,25.5319,14.8936,0,0,25.5319,14.8936
,40,1.11429,141,49,31,0,0,49,31,26.0638,16.4894,0,0,26.0638,16.4894
,40,1.11429,142,52,33,0,0,52,33,27.6596,17.5532,0,0,27.6596,17.5532
,41,1.14286,143,52,29,0,0,52,29,27.6596,15.4255,0,0,27.6596,15.4255
